Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,42.31,2.572,NA,NA,NA,NA,NA,211.10,8.11,FALSE
1,2010-02-12,38.51,2.548,NA,NA,NA,NA,NA,211.24,8.11,TRUE
1,2010-02-19,39.93,2.514,NA,NA,NA,NA,NA,211.29,8.11,FALSE
1,2010-02-26,46.63,2.561,NA,NA,NA,NA,NA,211.32,8.11,FALSE
1,2010-03-05,46.50,2.625,NA,NA,NA,NA,NA,211.35,8.11,FALSE
1,2010-03-12,57.79,2.667,NA,NA,NA,NA,NA,211.38,8.11,FALSE
1,2010-03-19,54.58,2.72,NA,NA,NA,NA,NA,211.22,8.11,FALSE
1,2010-03-26,51.45,2.732,NA,NA,NA,NA,NA,211.02,8.11,FALSE
1,2010-04-02,62.27,2.719,NA,NA,NA,NA,NA,210.82,7.81,FALSE
1,2010-04-09,65.86,2.77,NA,NA,NA,NA,NA,210.62,7.81,FALSE
1,2010-04-16,66.32,2.808,NA,NA,NA,NA,NA,210.49,7.81,FALSE
1,2010-04-23,64.84,2.795,NA,NA,NA,NA,NA,210.44,7.81,FALSE
1,2010-04-30,67.41,2.78,NA,NA,NA,NA,NA,210.39,7.81,FALSE
1,2010-05-07,72.55,2.835,NA,NA,NA,NA,NA,210.34,7.81,FALSE
1,2010-05-14,74.78,2.854,NA,NA,NA,NA,NA,210.34,7.81,FALSE
1,2010-05-21,76.44,2.826,NA,NA,NA,NA,NA,210.62,7.81,FALSE
1,2010-05-28,80.44,2.759,NA,NA,NA,NA,NA,210.90,7.81,FALSE
1,2010-06-04,80.69,2.705,NA,NA,NA,NA,NA,211.18,7.81,FALSE
1,2010-06-11,80.43,2.668,NA,NA,NA,NA,NA,211.46,7.81,FALSE
1,2010-06-18,84.11,2.637,NA,NA,NA,NA,NA,211.45,7.81,FALSE
1,2010-06-25,84.34,2.653,NA,NA,NA,NA,NA,211.34,7.81,FALSE
1,2010-07-02,80.91,2.669,NA,NA,NA,NA,NA,211.22,7.79,FALSE
1,2010-07-09,80.48,2.642,NA,NA,NA,NA,NA,211.11,7.79,FALSE
1,2010-07-16,83.15,2.623,NA,NA,NA,NA,NA,211.10,7.79,FALSE
1,2010-07-23,83.36,2.608,NA,NA,NA,NA,NA,211.24,7.79,FALSE
1,2010-07-30,81.84,2.64,NA,NA,NA,NA,NA,211.37,7.79,FALSE
1,2010-08-06,87.16,2.627,NA,NA,NA,NA,NA,211.50,7.79,FALSE
1,2010-08-13,87.00,2.692,NA,NA,NA,NA,NA,211.64,7.79,FALSE
1,2010-08-20,86.65,2.664,NA,NA,NA,NA,NA,211.60,7.79,FALSE
1,2010-08-27,85.22,2.619,NA,NA,NA,NA,NA,211.57,7.79,FALSE
1,2010-09-03,81.21,2.577,NA,NA,NA,NA,NA,211.53,7.79,FALSE
1,2010-09-10,78.69,2.565,NA,NA,NA,NA,NA,211.50,7.79,TRUE
1,2010-09-17,82.11,2.582,NA,NA,NA,NA,NA,211.52,7.79,FALSE
1,2010-09-24,80.94,2.624,NA,NA,NA,NA,NA,211.60,7.79,FALSE
1,2010-10-01,71.89,2.603,NA,NA,NA,NA,NA,211.67,7.84,FALSE
1,2010-10-08,63.93,2.633,NA,NA,NA,NA,NA,211.75,7.84,FALSE
1,2010-10-15,67.18,2.72,NA,NA,NA,NA,NA,211.81,7.84,FALSE
1,2010-10-22,69.86,2.725,NA,NA,NA,NA,NA,211.86,7.84,FALSE
1,2010-10-29,69.64,2.716,NA,NA,NA,NA,NA,211.91,7.84,FALSE
1,2010-11-05,58.74,2.689,NA,NA,NA,NA,NA,211.96,7.84,FALSE
1,2010-11-12,59.61,2.728,NA,NA,NA,NA,NA,212.00,7.84,FALSE
1,2010-11-19,51.41,2.771,NA,NA,NA,NA,NA,211.89,7.84,FALSE
1,2010-11-26,64.52,2.735,NA,NA,NA,NA,NA,211.75,7.84,TRUE
1,2010-12-03,49.27,2.708,NA,NA,NA,NA,NA,211.61,7.84,FALSE
1,2010-12-10,46.33,2.843,NA,NA,NA,NA,NA,211.47,7.84,FALSE
1,2010-12-17,49.84,2.869,NA,NA,NA,NA,NA,211.41,7.84,FALSE
1,2010-12-24,52.33,2.886,NA,NA,NA,NA,NA,211.41,7.84,FALSE
1,2010-12-31,48.43,2.943,NA,NA,NA,NA,NA,211.40,7.84,TRUE
1,2011-01-07,48.27,2.976,NA,NA,NA,NA,NA,211.40,7.74,FALSE
1,2011-01-14,35.40,2.983,NA,NA,NA,NA,NA,211.46,7.74,FALSE
1,2011-01-21,44.04,3.016,NA,NA,NA,NA,NA,211.83,7.74,FALSE
1,2011-01-28,43.83,3.01,NA,NA,NA,NA,NA,212.20,7.74,FALSE
